	User	Date Created	Number of Likes	Source of Tweet	Tweet	Location
45	Sly_Osagiede	2022-03-22 22:12:06+00:00	1	Twitter for Android	"Imagine just One month plus marriage and your wife is already climbing fence with ladder just to go cheat.....
God abeg💔💔
Thank God for cctv

#HorribleBosses
""Illorin"" vawulence /violence/ agba akin /portable/ https://t.co/L3WjfmrCFd"	Dublin City, Ireland
46	slimbrizle	2022-03-22 22:11:16+00:00	0	Twitter for Android	Make una try dey knack oooh... especially those of una wey get #HorribleBosses for office. https://t.co/y8E7UvgVD0	Nigeria 
47	_iamhorlar	2022-03-22 22:09:40+00:00	1	Twitter for iPhone	Add small Ashewo vibes 👅 to the relationship plz🙏🏾, I no be Imam or Pastor  #AshewoVibes #Ebun #Ilorin #HorribleBosses #DStvPrem #QuidaxDonJazzy #LekkiGirl	E concern you ⁉️
48	KelechiAttamah	2022-03-22 22:09:18+00:00	2	Twitter for iPhone	"On this #HorribleBosses issue, I see a lot of tweets saying that the cause of these problems is ""lack of labour laws"". I am really wondering where you people get your information from. Did you engage a lawyer to represent you on a labour related matter and he told you..."	Lagos
49	gembrity	2022-03-22 22:08:49+00:00	5	Twitter for iPhone	"First of all, let me start with this statement “Na woman be woman problem” 
This #HorribleBosses we are talking about. Give a woman power and you can see an organisation crumble. 
I worked in one hospital in Surulere and the CMD (Chief Medical Director) is toxic"	
50	AskOmalicha	2022-03-22 22:07:13+00:00	1	Twitter for Android	"Emotions that arise from a #toxicworkplace seep into every aspect of your life...no job is worth that kind of misery.

#ThePolishCoach
#NneomaEffanga
#HorribleBosses
#EmotionalIntelligence"	Lagos, Nigeria
51	THEREFORMER123	2022-03-22 22:03:13+00:00	0	Twitter for Android	"The returns on information and knowledge as a competitive advantage are beginning to plateau, the competitive edge of the workplace of the future will be the workplace culture.

#HorribleBosses 
#organizationalCulture"	Abuja, Nigeria
52	HapimumOfficial	2022-03-22 22:02:13+00:00	0	Twitter for Android	"Should we talk about interview you will go early in the morning, dress to your best do all the necccasory research, at the end they will end up tasking you to pay money for form
That when their monthly alert enter they will start to break chairs all na lie lie #HorribleBosses"	Lagos
53	world94321	2022-03-22 22:01:47+00:00	2	Twitter for iPhone	ASUS ROG Strix G512LW,2.60GHz 10th Generation Intel Core i7-10750H 12 CPUs,16GB Ram,512GB Storage,15.6-inch Screen Display,8GB Nvidia RTX 2070,Backlit Keyboard,Windows 10 for N700,000. 1000 dollars giveaway TheDonsGiveaway Southern Kaduna NO LEAVE NO TRANSFER #HorribleBosses https://t.co/9gq7ohtjIs	Lagos, Nigeria
54	MrCscore	2022-03-22 22:01:16+00:00	14	Twitter for Android	"Here are your winning tickets 😜✅
Amber
Mr bayo
#HorribleBosses 
#toxicworkplace 
Kuda
#BBNaija https://t.co/BEeLgUMipb"	
55	miss_adaobi	2022-03-22 22:01:01+00:00	17	Twitter for iPhone	"Seeing all the tweet about #horriblebosses I think I am a very good boss.
How do people treat their staff so badly and expect their business to grow? 
I try to encourage my staffs by giving them bonuses when we hit a target (salary aside)
Stop treating your staffs poorly."	
56	Abassinpa	2022-03-22 22:00:49+00:00	1	Twitter for iPhone	"Potiphar’s wife was one of those  #HorribleBosses but was a pathway for Joseph rise to Kingship. 

Work on your mindset!"	Inside the trinity
57	Tableshaker11	2022-03-22 21:59:08+00:00	1	Twitter for iPhone	I thought HR is an acronym for Human resource but the one I know has no human conscience, how can an HR be condemning workers in front of the directors of the company, just to seem like a good person , too much eye service #HorribleBosses	Earth
58	mamodes	2022-03-22 21:58:54+00:00	1	Twitter for Android	#HorribleBosses same thing happens at work to if I take him out he collect his car key bcos am not allow to sit down inside the car, I was always afraid to come to work that Friday I made up my mind that is over when we left Gtbank headquarter that afternoon I told him am done	nigeria
59	timideesmusic	2022-03-22 21:57:58+00:00	0	Twitter for Android	Dear God expose me to new people that will change my life...#Trending #NugaUnilag2022 #NugaGames2022 #HorribleBosses Please God #timideesmedia	49 osanyintola street ,Ijaye
60	AskOmalicha	2022-03-22 21:57:36+00:00	3	Twitter for Android	"People don't start off being #horriblebosses but not paying attention to the changes they are going through and the overall impact eventually creates a #toxicworkplace
Let's be conscious and intentional.
#ThePolishCoach
#NneomaEffanga"	Lagos, Nigeria
61	UchechukwuIbej1	2022-03-22 21:55:47+00:00	2	Twitter for Android	My manager dismisses me cos I saw her flirting with our CEO #HorribleBosses	Nigeria
62	Takeoffbbg	2022-03-22 21:53:14+00:00	3	Twitter for iPhone	A problem shared is a see finish #HorribleBosses https://t.co/y3QKqa5DYL	At yo bitch crib
63	CSexier	2022-03-22 21:51:14+00:00	3	Twitter Web App	"Just In: Jah Cure Sentenced To Six Years In Dutch Jail - https://t.co/cz7ZoCzIKo 

Asamoah Gyan Black Stars Baby Jet Ashimeru Nigeria Jordan #FabuCensus Danlad Jordan Otto Addo AFCON #HorribleBosses"	
64	real_yemi_	2022-03-22 21:50:17+00:00	1	Twitter for Android	"#horribleboss 
#horriblebosses 
#toxicworkplace 

Have you ever worked at Nack apparel?

Tell us your experience."	Earth
65	SirJarus	2022-03-22 21:49:32+00:00	3	Twitter for iPhone	Grammar Twitter don enter the #HorribleBosses rogbodiyan https://t.co/JJ0IfbO4fq	Lagos, Nigeria
66	sodeeq_oyewale	2022-03-22 21:48:02+00:00	3	Twitter for Android	"I have someone (a 2:1 elect-elect graduate of OAU) that teach in a secondary school in Ibadan,and she's been paid 22k for teaching math, physics, and further math.
#horriblebosses"	Ile-Ife, Nigeria
67	_iamhorlar	2022-03-22 21:38:47+00:00	0	Twitter for iPhone	#toxicworkplace #HorribleBosses https://t.co/ZRSreV4Vys	E concern you ⁉️
68	ToheebAlim	2022-03-22 21:37:16+00:00	0	Twitter for Android	I wish this can trend on LinkedIn too #HorribleBosses	Nigeria
69	_zeroed_g	2022-03-22 21:35:10+00:00	4	Twitter for Android	"I dont think any Nigeria working environment is as toxic as banking sector, those guys there needs weekly free therapy section! #toxicworkplace
#HorribleBosses"	Lagos, Nigeria 
70	molarawood	2022-03-22 21:34:20+00:00	1	Twitter for Android	"The bit where the guy said the producer wanted to sleep with him. Listen from 2:30 mark. 
https://t.co/poyjWrs8So

#HorribleBosses #Nollywood https://t.co/4bWiLElRDz"	
71	iam_ojmartins	2022-03-22 21:32:43+00:00	1	Twitter for Android	"I was finally able to resign with the help of knowing that
1. When you hit rock bottom there is only one way &amp; that's up.
2. Whenever I try to imagine a glimpse of hope, I see my older colleagues and imagine how long they have spent and are still at that point. #HorribleBosses"	Abuja, Nigeria
72	CheezyCharles	2022-03-22 21:32:08+00:00	0	Twitter for iPhone	Omoh this one is trending!!! 😂#HorribleBosses	Enugu, Nigeria
73	bolajiopakunbi	2022-03-22 21:31:50+00:00	5	Twitter for iPhone	This short film was made a couple of years back and the message is still so germane to the discussion on Twitter Space tonight on #horriblebosses. You should see it, especially if you’re in #nollywood. https://t.co/OnwjUQbYms	Lagos, Nigeria
74	ApatiraTaiwo	2022-03-22 21:30:59+00:00	0	Twitter for iPhone	#horriblebosses https://t.co/WzxgWVoBK3	Lagos, Nigeria
75	ApatiraTaiwo	2022-03-22 21:30:40+00:00	0	Twitter for iPhone	#horriblebosses https://t.co/aj2gHrvCoK	Lagos, Nigeria
76	my_diary_times	2022-03-22 21:30:04+00:00	8	Twitter for Android	"Most of us have our own bad experiences with horrible bosses. As bad as it is, it's worse wen experienced in your first job. The psychological effect is terrible as it affects ur confidence, self esteem, productivity, intelligence, relationships..
#HorribleBosses #toxicworkplace"	Nigeria
77	ambuhari	2022-03-22 21:29:49+00:00	2	Twitter Web App	All these #HorribleBosses tales, may we never be them.	Kaduna, Nigeria
78	DocOmeiza	2022-03-22 21:27:46+00:00	2	Twitter for Android	"Toxic environments make people who should close at 5pm to be at the gate by 4:45pm. 
If the environment we're however condusive, people would still be at work till 7pm, na employer go de beg say make ina con de go house!!! 
Nigerian Employers need to do better.
#horriblebosses https://t.co/mxSdLSMjfT"	Lekki Tollgate Massacre 
79	mr2penny	2022-03-22 21:26:05+00:00	1	Twitter for iPhone	"Society breeds narcissistic people and they call it having tough skin. You champion it as character building and now you see these toxic stained leadership and call out your #HorribleBosses 
All cogs are needed for the toxic machinery to execute the function of intended creation"	iNstagram: @meestar_2penny
80	osemagnum	2022-03-22 21:26:04+00:00	1	Twitter for Android	I wish Nigerian House officers, Registrars and Senior Registrars and young consultants can come out and say their #HorribleBosses stories. It's a terrible ordeal!	المملكة العربية السعودية
81	MichealSound	2022-03-22 21:25:59+00:00	0	Twitter for Android	Abeg make #horriblebosses space b night tomorrow 😫	Lagos city, Nigeria 
82	darkart24	2022-03-22 21:24:54+00:00	0	Twitter for Android	"This industry is just funny... Shey spokesperson no get mouth to talk... Sometimes na the establishment they support #horriblebosses... Fiannnnnn receipts Don come out within seconds... Bros, bros, bros e bonle nbe!!! 

#nollywood"	
83	9elumi	2022-03-22 21:23:53+00:00	1	Twitter for iPhone	So same time next year? #HorribleBosses	Toronto, Ontario
84	iamfikayo__	2022-03-22 21:23:29+00:00	0	Twitter for iPhone	"Imagine being hired as a staff and you’re still instructed to sweep ,after work hours !! 

Imagine all this #HorribleBosses 
@ColdStone in Nigeria una well done oh reciept dey for una too"	Okè okun tilu canada
85	sijilagos	2022-03-22 21:23:25+00:00	0	Twitter for iPhone	That’s how one said I didn’t tuck in to interview #HorribleBosses	TheJourney
86	AskOmalicha	2022-03-22 21:22:54+00:00	7	Twitter for Android	"Handling #horriblebosses in a #toxicworkplace takes a lot of willpower and inner strength. You have  a voice and you have options...speak out and walk away  
#ThePolishCoach
#NneomaEffanga"	Lagos, Nigeria
87	seyi_thevibe	2022-03-22 21:22:47+00:00	0	Twitter for iPhone	Even my papa get yarns ontop di #HorribleBosses mata	My Home Studio, Lagos, Nigeria
88	henry_tabansi	2022-03-22 21:22:05+00:00	2	Twitter for iPhone	My take on #horriblebosses https://t.co/lbVgr4WfYE	Lagos State, Nigeria
89	Mmirimaraugo96	2022-03-22 21:21:30+00:00	5	Twitter for Android	"Started my UI/UX journey today 😥.
I hope to enjoy the journey as I go through each stage.
#uidesign #uxdesign  #TechGirl #toxicworkplace #HorribleBosses"	Enugu, Nigeria
